route_id,service_id,trip_id,block_id,direction_id
018,MR_merged_67034,35236,a_018 -  2,1
016,MR_merged_67034,35541,a_016 -  1,0
018,MR_merged_67034,35234,a_009 -  1,1
016,MR_merged_67034,35543,a_016 -  2,0
018,MR_merged_67034,35232,a_018 -  1,1
018,MR_merged_67034,35233,a_018 -  2,1
018,MR_merged_67034,35230,a_018 -  2,1
018,MR_merged_67034,35231,a_009 -  1,1
016,MR_merged_67034,35548,a_016 -  2,0
023,MR_merged_67034,35549,a_023 -  4,0
017,MR_merged_67034,35561,a_017 -  9,1
023,MR_merged_67034,35542,a_023 -  7,0
018,MR_merged_67034,35238,a_018 -  1,1
018,MR_merged_67034,35239,a_018 -  2,1
018,MR_merged_67034,35235,a_018 -  1,1
023,MR_merged_67039,54162,b_023 -  4,1
002,FR_merged_67033,38843,a_002 -  4,1
005,MR_merged_67034,35448,a_005 -  1,0
023,MR_merged_67034,35544,a_023 -  3,0
016,MR_merged_67034,35545,a_016 -  1,0
013,SA_merged_67041,59585,b_013 -  1,1
023,MR_merged_67034,35546,a_023 -  6,0
110,SU_merged_67042,66998,b_110 -  2,1
016,MR_merged_67034,35566,a_016 -  2,0
017,MR_merged_67034,35547,a_017 -  8,1
036,FR_merged_67038,57225,b_036 -  1,1
090,SA_merged_67036,209_merged_67480,a_090 -  1,0
023,MR_merged_67039,54161,b_023 -  6,1
016,FR_merged_67038,55617,b_016 -  2,1
115,WE_merged_67035,43879,a_115 -  2,1
115,WE_merged_67035,43878,a_115 -  1,1
114,WE_merged_67035,43875,a_114 -  3,1
105,WE_merged_67035,43874,a_105 -  1,1
115,WE_merged_67035,43877,a_103 -  2,1
114,WE_merged_67035,43876,a_114 -  4,1
104,WE_merged_67035,43871,a_104 -  5,1
104,WE_merged_67035,43870,a_104 -  7,1
114,WE_merged_67035,43873,a_114 -  2,1
104,WE_merged_67035,43872,a_104 -  5,1
002,MR_merged_67039,53904,b_002 -  2,0
800,FR_merged_67033,33453_merged_67583,a_800F-  5,0
961,MR_merged_67039,53905,b_961 - 11,1
016,SA_merged_67041,58569,b_004 -  1,1
015,FR_merged_67038,56125,b_015 -  5,1
001,FR_merged_67038,56124,b_001 -  8,1
015,FR_merged_67038,56127,b_015 - 12,1
001,FR_merged_67038,56126,b_001 -  9,1
015,FR_merged_67038,56129,b_015 -  8,1
001,FR_merged_67038,56128,b_001 - 11,1
008,SU_merged_67042,60578,b_008 -  1,1
016,SA_merged_67041,58568,b_016 -  2,1
800,MR_merged_67034,33063_merged_67544,a_800W-  2,0
050,FR_merged_67038,57290,b_050 -  1,1
045,FR_merged_67038,57291,b_045 -  3,1
045,FR_merged_67038,57292,b_045 -  1,1
041,FR_merged_67038,57293,b_041 -  2,1
050,FR_merged_67038,57294,b_050 -  1,1
045,FR_merged_67038,57295,b_045 -  2,1
045,FR_merged_67038,57296,b_045 -  4,1
041,FR_merged_67038,57297,b_041 -  1,1
050,FR_merged_67038,57298,b_050 -  1,1
045,FR_merged_67038,57299,b_045 -  3,1
047,FR_merged_67038,55837,b_057 -  3,1
047,FR_merged_67038,55835,b_047 -  8,1
047,FR_merged_67038,55832,b_047 -  5,1
047,FR_merged_67038,55833,b_047 -  7,1
800,SU_merged_67037,34321_merged_67093,a_800U-  3,0
047,FR_merged_67038,55831,b_047 -  4,1
047,FR_merged_67038,55839,b_047 - 10,1
008,SU_merged_67037,42087,a_008 -  1,1
101,WE_merged_67040,64352,b_101 -  1,1
001,SU_merged_67037,42086,a_001 -  2,1
800,MR_merged_67039,33130_merged_68021,b_800W-  3,1
111,WE_merged_67040,64674,b_111 -  1,1
107,WE_merged_67040,64675,b_106 -  3,1
111,WE_merged_67040,64676,b_111 -  2,1
001,SU_merged_67037,42084,a_001 -  1,1
111,WE_merged_67040,64670,b_111 -  1,1
107,WE_merged_67040,64671,b_106 -  2,1
111,WE_merged_67040,64672,b_111 -  2,1
107,WE_merged_67040,64673,b_106 -  1,1
008,SU_merged_67037,42083,a_008 -  1,1
107,WE_merged_67040,64679,b_106 -  4,1
001,SU_merged_67037,42082,a_001 -  2,1
033,SA_merged_67041,63024,b_033 -  2,0
026,SA_merged_67041,63025,b_026 -  1,0
026,SA_merged_67041,63026,b_026 -  1,0
033,SA_merged_67041,63027,b_033 -  1,0
026,SA_merged_67041,63020,b_026 -  2,0
008,SU_merged_67037,42081,a_008 -  2,1
026,SA_merged_67041,63022,b_026 -  1,0
026,SA_merged_67041,63023,b_026 -  1,0
001,MR_merged_67039,53733,b_001 -  9,0
006,MR_merged_67039,53732,b_006 -  3,0
003,MR_merged_67039,53731,b_003 -  4,0
001,SU_merged_67037,42080,a_001 -  1,1
026,SA_merged_67041,63028,b_026 -  2,0
020,MR_merged_67039,53736,b_020 -  9,0
013,MR_merged_67039,53735,b_013 -  2,0
009,MR_merged_67039,53734,b_009 -  2,0
027,WE_merged_67035,46793,a_027 -  1,0
025,WE_merged_67035,46792,a_025 -  1,1
025,WE_merged_67035,46791,a_025 -  2,1
025,WE_merged_67035,46790,a_025 -  1,1
027,WE_merged_67035,46797,a_027 -  1,0
027,WE_merged_67035,46796,a_027 -  2,0
027,WE_merged_67035,46795,a_027 -  1,0
027,WE_merged_67035,46794,a_027 -  2,0
027,WE_merged_67035,46799,a_027 -  1,0
027,WE_merged_67035,46798,a_027 -  1,0
103,SA_merged_67041,65508,b_103 -  1,0
112,SA_merged_67036,45118,a_112 -  3,0
104,WE_merged_67040,64451,b_104 -  2,0
101,WE_merged_67040,64452,b_101 -  2,1
112,WE_merged_67040,64453,b_112 -  4,0
103,WE_merged_67040,64454,b_103 -  1,1
104,WE_merged_67040,64456,b_104 -  4,0
112,WE_merged_67040,64457,b_112 -  3,0
101,SA_merged_67036,45110,a_101 -  2,1
104,SA_merged_67036,45111,a_104 -  2,0
103,SA_merged_67036,45112,a_103 -  2,1
112,SA_merged_67036,45113,a_112 -  2,0
104,SA_merged_67036,45114,a_104 -  1,0
101,SA_merged_67036,45115,a_101 -  2,1
103,SA_merged_67036,45116,a_103 -  1,1
104,SA_merged_67036,45117,a_104 -  2,0
115,SA_merged_67036,44799,a_115 -  2,0
109,SA_merged_67036,44798,a_120 -  1,0
103,SA_merged_67036,44791,a_103 -  3,0
101,SA_merged_67036,44790,a_101 -  1,0
118,SA_merged_67036,44793,a_118 -  2,0
117,SA_merged_67036,44792,a_120 -  1,0
102,SA_merged_67036,44795,a_102 -  1,0
115,SA_merged_67036,44794,a_115 -  1,0
120,SA_merged_67036,44797,a_120 -  2,0
114,SA_merged_67036,44796,a_114 -  2,0
006,FR_merged_67038,56572,b_006 -  4,0
105,WE_merged_67040,63816,b_105 -  2,0
090,SA_merged_67041,207_merged_68143,b_090 -  1,0
041,FR_merged_67033,37799,a_041 -  1,0
050,FR_merged_67033,37798,a_050 -  1,0
047,FR_merged_67033,37797,a_047 -  5,0
