service_id,date,exception_type
MR_merged_67039,20120528,2
MR_merged_67039,20120704,2
MR_merged_67039,20120903,2
MR_merged_67039,20121225,2
MR_merged_67039,20121122,2
WE_merged_67035,20120102,2
WE_merged_67035,20120116,2
SU_merged_67042,20121122,1
SU_merged_67042,20121225,1
MR_merged_67034,20120102,2
MR_merged_67034,20120116,2
FR_merged_67038,20121123,2
WE_merged_67040,20120528,2
WE_merged_67040,20120903,2
WE_merged_67040,20121225,2
WE_merged_67040,20121123,2
WE_merged_67040,20121122,2
WE_merged_67040,20120704,2
SA_merged_67036,20120102,1
SA_merged_67036,20120116,1
SA_merged_67041,20120528,1
SA_merged_67041,20120704,1
SA_merged_67041,20121123,1
SA_merged_67041,20120903,1
