service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
MR_merged_67039,20120122,20121229,1,1,1,1,0,0,0
WE_merged_67035,20120101,20120121,1,1,1,1,1,0,0
FR_merged_67033,20120101,20120121,0,0,0,0,1,0,0
SU_merged_67042,20120122,20121229,0,0,0,0,0,0,1
SU_merged_67037,20120101,20120121,0,0,0,0,0,0,1
MR_merged_67034,20120101,20120121,1,1,1,1,0,0,0
FR_merged_67038,20120122,20121229,0,0,0,0,1,0,0
WE_merged_67040,20120122,20121229,1,1,1,1,1,0,0
SA_merged_67036,20120101,20120121,0,0,0,0,0,1,0
SA_merged_67041,20120122,20121229,0,0,0,0,0,1,0
